SIZE,ADD,PEEK,MODIFY,REMOVE,SIZE
100,60,41,140,251,30,
100,40,40,200,100,40,
100,40,40,120,50,40,
100,40,31,110,70,40,
100,40,40,110,110,30,
100,31,40,110,100,40,
100,40,30,100,100,30,
100,40,40,110,60,30,
100,40,40,130,90,40,
100,40,40,111,100,40,
100,40,40,130,80,30,
100,41,30,120,60,40,
100,40,40,150,70,30,
100,40,40,181,80,40,
100,40,30,160,70,40,
100,40,30,110,70,30,
100,40,40,131,60,40,
100,41,40,120,60,40,
100,40,30,141,80,40,
100,40,40,140,80,40,
100,40,40,151,60,40,
100,40,30,120,60,40,
100,40,30,180,50,30,
100,40,40,120,90,40,
100,41,40,150,80,40,
100,40,30,130,60,40,
100,40,30,110,51,40,
100,40,30,140,60,40,
100,40,40,131,50,40,
100,30,40,130,40,41,
100,40,30,91,50,40,
100,41,30,80,40,41,
100,30,40,81,40,40,
100,41,40,80,40,40,
100,40,30,80,40,30,
100,40,40,80,40,40,
100,40,40,80,40,40,
100,40,41,80,40,40,
100,40,40,80,41,40,
100,40,30,80,40,30,
100,40,40,91,40,40,
100,41,30,80,40,30,
100,30,40,91,40,40,
100,40,40,90,40,30,
100,40,40,90,40,40,
100,40,40,80,30,40,
100,40,30,80,40,40,
100,40,41,80,40,40,
100,40,40,80,41,40,
100,40,40,80,40,40,
100,40,30,80,40,40,
100,40,40,80,40,30,
100,40,40,90,40,40,
100,40,40,81,40,40,
100,40,30,80,40,31,
100,40,40,91,40,40,
100,41,40,80,30,40,
100,40,30,80,40,40,
100,40,30,80,40,30,
100,40,40,90,40,30,
100,40,30,100,40,40,
100,40,30,80,40,40,
100,30,40,90,40,40,
100,40,41,80,40,40,
100,40,40,80,41,40,
100,40,30,80,40,30,
100,40,40,90,40,40,
100,40,40,80,30,40,
100,40,40,80,40,40,
100,40,40,81,40,30,
100,41,40,90,40,41,
100,40,40,81,40,40,
100,40,40,80,30,40,
100,40,40,80,40,40,
100,40,30,80,40,30,
100,40,40,80,40,40,
100,40,40,80,40,40,
100,40,40,80,41,40,
100,40,41,80,40,40,
100,40,40,80,41,40,
100,40,40,80,40,40,
100,40,40,80,30,40,
100,40,40,80,40,40,
100,40,30,80,40,30,
100,40,30,80,40,30,
100,40,40,91,40,40,
100,40,40,80,30,41,
100,40,30,81,40,30,
100,41,40,90,40,40,
100,40,40,80,30,40,
100,40,30,80,40,40,
100,40,40,80,40,30,
100,40,40,90,40,40,
100,40,40,80,41,40,
100,40,41,80,40,40,
100,40,30,80,40,40,
100,40,30,80,40,30,
100,40,40,90,40,40,
100,40,40,80,40,40,
100,40,40,80,40,41,
500,60,40,1142,160,40,
500,40,40,741,261,40,
500,40,30,321,80,41,
500,40,30,321,150,30,
500,40,30,330,70,40,
500,40,30,340,91,40,
500,40,31,290,101,40,
500,40,41,350,110,40,
500,40,40,351,110,30,
500,40,30,321,90,30,
500,30,40,311,90,40,
500,40,30,291,110,40,
500,40,40,331,90,40,
500,40,40,321,70,40,
500,40,30,301,90,40,
500,30,40,321,80,40,
500,40,40,291,100,40,
500,40,40,311,100,40,
500,40,30,311,90,40,
500,40,40,301,70,30,
500,40,40,301,120,30,
500,40,40,291,80,30,
500,40,40,321,90,40,
500,40,40,311,70,30,
500,40,30,311,130,40,
500,40,40,331,90,30,
500,40,40,361,80,40,
500,40,40,321,100,40,
500,40,40,310,100,40,
500,40,30,300,91,40,
500,40,40,330,81,40,
500,40,30,340,71,40,
500,40,41,330,81,40,
500,40,41,330,81,40,
500,40,30,310,71,40,
500,40,41,330,121,30,
500,40,40,391,110,40,
500,40,30,321,80,40,
500,40,40,311,110,40,
500,40,30,341,90,40,
500,40,40,330,120,40,
500,40,30,301,90,40,
500,40,30,321,80,30,
500,40,40,321,110,40,
500,40,40,631,81,40,
500,40,40,641,130,40,
500,40,40,641,90,40,
500,40,40,661,131,40,
500,70,40,621,100,40,
500,40,40,391,100,30,
500,40,40,331,90,40,
500,40,30,311,80,40,
500,40,40,351,50,40,
500,40,30,351,50,40,
500,40,40,371,100,41,
500,40,30,321,80,41,
500,40,40,361,70,40,
500,40,40,341,80,40,
500,40,40,330,70,40,
500,40,40,321,80,40,
500,40,40,320,150,40,
500,40,40,361,100,40,
500,40,40,661,141,40,
500,40,40,711,91,40,
500,40,40,671,90,40,
500,30,40,621,100,30,
500,40,40,661,70,40,
500,40,40,531,121,40,
500,40,40,671,120,40,
500,40,40,662,80,30,
500,40,40,491,110,41,
500,40,40,371,60,30,
500,40,30,420,81,40,
500,40,40,370,80,40,
500,40,40,351,70,40,
500,41,30,381,50,40,
500,40,40,421,50,40,
500,40,30,411,150,41,
500,40,30,361,100,40,
500,40,40,360,91,30,
500,70,41,721,90,40,
500,40,40,711,121,40,
500,40,40,681,100,40,
500,50,30,702,70,161,
500,40,40,390,101,40,
500,40,40,391,90,40,
500,40,30,361,60,40,
500,40,40,381,130,30,
500,40,40,361,60,40,
500,40,40,431,70,40,
500,40,30,380,71,40,
500,40,30,350,71,30,
500,40,41,400,70,30,
500,40,40,330,80,40,
500,41,40,371,60,30,
500,31,40,330,50,30,
500,40,41,380,60,30,
500,40,31,320,141,30,
500,30,41,360,41,30,
500,40,40,390,71,30,
1000,61,30,862,130,40,
1000,40,40,1403,130,40,
1000,40,30,712,160,30,
1000,40,30,571,110,30,
1000,30,30,531,110,30,
1000,30,30,521,80,30,
1000,30,30,561,130,30,
1000,40,30,531,60,40,
1000,40,41,561,120,30,
1000,40,30,611,131,30,
1000,30,30,581,80,30,
1000,30,30,561,60,40,
1000,40,40,551,91,30,
1000,40,30,511,100,40,
1000,41,30,551,70,30,
1000,30,30,541,60,30,
1000,30,30,561,80,30,
1000,40,41,591,80,40,
1000,40,30,511,80,30,
1000,30,30,571,100,30,
1000,40,30,631,100,30,
1000,40,40,581,100,30,
1000,40,40,592,90,30,
1000,31,30,571,100,40,
1000,30,30,531,131,30,
1000,30,31,541,70,40,
1000,41,30,581,120,40,
1000,40,40,571,100,40,
1000,40,40,551,100,30,
1000,30,30,541,80,30,
1000,30,30,541,90,30,
1000,30,31,531,100,30,
1000,40,40,571,70,30,
1000,30,30,541,71,40,
1000,40,30,571,80,30,
1000,41,40,551,100,30,
1000,30,30,551,70,40,
1000,40,30,551,60,30,
1000,30,31,621,70,30,
1000,30,30,561,90,30,
1000,40,30,581,90,30,
1000,40,40,562,80,40,
1000,30,30,551,60,30,
1000,40,30,571,80,40,
1000,40,40,582,110,30,
1000,31,30,571,60,30,
1000,30,30,581,101,30,
1000,30,30,601,60,30,
1000,40,30,541,100,41,
1000,40,30,621,100,30,
1000,30,30,561,90,30,
1000,30,30,621,71,30,
1000,30,30,581,60,30,
1000,31,30,571,60,30,
1000,30,30,601,121,30,
1000,40,40,591,90,30,
1000,40,40,621,70,30,
1000,30,40,571,70,30,
1000,30,30,591,70,30,
1000,30,30,551,90,30,
1000,31,30,581,110,31,
1000,40,40,571,80,30,
1000,30,31,541,110,30,
1000,30,40,551,100,30,
1000,30,30,531,70,30,
1000,30,30,551,100,40,
1000,40,30,521,80,30,
1000,30,30,551,111,30,
1000,30,31,511,80,40,
1000,41,30,571,90,40,
1000,40,40,561,101,40,
1000,40,30,561,80,30,
1000,41,30,571,70,40,
1000,40,30,611,61,30,
1000,30,30,551,100,40,
1000,40,30,561,80,40,
1000,40,30,571,121,30,
1000,30,30,581,70,30,
1000,40,30,621,70,30,
1000,30,30,571,70,40,
1000,40,30,582,100,40,
1000,30,30,661,80,40,
1000,40,30,622,80,30,
1000,31,30,601,90,30,
1000,30,30,661,90,30,
1000,40,30,731,60,30,
1000,30,30,592,80,40,
1000,40,30,591,70,30,
1000,30,30,701,80,40,
1000,40,30,661,80,30,
1000,30,30,631,70,30,
1000,30,31,591,70,30,
1000,30,30,581,110,30,
1000,30,30,661,90,30,
1000,30,30,641,61,30,
1000,40,30,672,90,30,
1000,30,30,671,91,40,
1000,40,30,651,70,40,
1000,40,30,651,71,40,
1000,40,30,661,60,30,
5000,50,30,5330,411,30,
5000,30,30,3006,90,40,
5000,30,40,2615,151,30,
5000,30,30,2474,150,30,
5000,31,30,2444,140,30,
5000,30,30,2424,150,30,
5000,30,30,2424,100,40,
5000,41,40,2414,90,30,
5000,30,30,2414,111,30,
5000,30,30,2364,140,40,
5000,40,30,2375,140,30,
5000,30,30,2365,100,30,
5000,30,30,2445,100,30,
5000,40,40,2405,90,40,
5000,30,30,2385,100,30,
5000,30,40,2384,120,40,
5000,31,30,2344,91,40,
5000,30,40,2374,70,30,
5000,30,30,2355,90,30,
5000,30,30,2365,170,30,
5000,41,30,2404,140,40,
5000,31,30,2414,80,30,
5000,40,40,2404,71,40,
5000,30,30,2404,60,30,
5000,30,30,2415,130,31,
5000,40,40,2365,70,30,
5000,40,40,2375,100,40,
5000,41,30,2414,130,30,
5000,41,30,2384,81,30,
5000,40,30,2224,90,30,
5000,30,30,2124,80,30,
5000,40,30,2134,70,30,
5000,30,30,2124,101,30,
5000,30,30,2114,100,30,
5000,40,30,2134,110,20,
5000,30,30,2114,90,30,
5000,30,30,2124,90,20,
5000,30,30,2134,101,30,
5000,40,20,2125,70,20,
5000,30,31,2154,90,30,
5000,30,30,2124,80,20,
5000,30,30,2144,80,20,
